"Rank","Symbol","log2FoldChange_median","padj_best","probe_selected","n_probes","ProbeIDs"
357,"RETNLB",-0.1104361190056,1.1696054196784e-12,"229400_at",2,"229400_at;205278_at"
358,"TUG1",1.24428680206612,1.19858700471062e-12,"205207_at",1,"205207_at"
359,"GHR",1.20994809012886,1.56384295555237e-12,"206502_s_at",1,"206502_s_at"
360,"TNFRSF19",-1.09000337588362,1.68216437288448e-12,"229623_at",1,"229623_at"
361,"PDK3",-1.65849010519848,1.80040083845463e-12,"205041_s_at",1,"205041_s_at"
362,"NUCKS1",1.35039780916515,2.38855943290713e-12,"202917_s_at",1,"202917_s_at"
363,"PLA2G12B",1.07089430309442,2.5786984746112e-12,"204646_at",1,"204646_at"
364,"QPCT",1.2690810547607,2.59181431832988e-12,"206026_s_at",1,"206026_s_at"
365,"MYRF",-1.16067121379412,3.12338974556275e-12,"206239_s_at",1,"206239_s_at"
366,"RHOF",-1.24108675721193,3.33506370402142e-12,"1555019_at",2,"1555019_at;222357_at"
367,"GPNMB",-1.09657303864436,3.70918862025268e-12,"204365_s_at",1,"204365_s_at"
368,"HSPA4L",-1.6087530305187,3.7438202265133e-12,"231341_at",2,"231341_at;227260_at"
369,"CHN2",1.26574504647549,4.23906295341345e-12,"32128_at",2,"32128_at;228617_at"
370,"AXIN2",1.51834567969376,4.75324125507552e-12,"204614_at",1,"204614_at"
371,"PRPF39",1.27443600655365,5.14391704786233e-12,"209924_at",1,"209924_at"
372,"POU2AF1",-1.04044819562646,6.74138756794887e-12,"235147_at",1,"235147_at"
373,"TRIM13",-1.1371546870937,1.02759735146684e-11,"233604_at",1,"233604_at"
374,"CCL3L1",1.67163831278894,1.05989490744809e-11,"210163_at",1,"210163_at"
375,"SEMA5A",-1.10799305987096,1.29768206877311e-11,"1552511_a_at",3,"1552511_a_at;238029_s_at;204607_at"
376,"PRKCI",-1.06233694548397,1.69250778817534e-11,"205499_at",1,"205499_at"
377,"SLC7A11",1.20816895805128,2.48727391446914e-11,"211122_s_at",3,"211122_s_at;1555989_at;220351_at"
378,"CWH43",-0.0280427545942901,2.81918116994676e-11,"219772_s_at",2,"219772_s_at;1554803_s_at"
379,"PRF1",1.14820436339216,3.04037046599218e-11,"220110_s_at",1,"220110_s_at"
380,"CRIP1",-1.21285856940701,4.33035102655253e-11,"225721_at",1,"225721_at"
381,"CDC42SE1",-1.48148546143934,5.00532733558541e-11,"225720_at",1,"225720_at"
382,"EREG",-1.2748407383509,5.01605374868234e-11,"207412_x_at",1,"207412_x_at"
383,"LINC00960",-1.18653300732575,5.67859103308694e-11,"244056_at",1,"244056_at"
384,"GAS2",-1.0488091873532,5.98572223854699e-11,"223761_at",1,"223761_at"
385,"UGT2A3",-1.10096640518507,6.83692649596802e-11,"201495_x_at",1,"201495_x_at"
386,"ISG15",-1.11197615377523,7.8333165079211e-11,"220723_s_at",1,"220723_s_at"
387,"FABP4",1.14438266982975,7.96510152375913e-11,"208473_s_at",1,"208473_s_at"
388,"CATSPERB",-1.05970945749885,8.2832145816474e-11,"210445_at",1,"210445_at"
389,"ID1",1.18584442151871,8.54761826522107e-11,"205890_s_at",1,"205890_s_at"
